User,Tweets,Link to Tweet,Date/Time
@realDonaldTrump,"The real story that Congress, the FBI and all others should be looking into is the leaking of Classified information. Must find leaker now!",http://twitter.com/realDonaldTrump/status/843779892776964097,"March 20, 2017 at 07:02AM"
@realDonaldTrump,Just heard Fake News CNN is doing polls again despite the fact that their election polls were a WAY OFF disaster. Much higher ratings at Fox,http://twitter.com/realDonaldTrump/status/843803115044454402,"March 20, 2017 at 08:35AM"
@realDonaldTrump,"What about all of the contact with the Clinton campaign and the Russians? Also, is it true that the DNC would not let the FBI in to look?",http://twitter.com/realDonaldTrump/status/843813078076719107,"March 20, 2017 at 09:14AM"
@realDonaldTrump,Congratulations Eric &amp; Lara. Very proud and happy for the two of you! https://t.co/s0T3cTQc40,http://twitter.com/realDonaldTrump/status/843873596963459072,"March 20, 2017 at 01:15PM"
@realDonaldTrump,"Thank you Louisville, Kentucky- on my way! #MAGA🇺🇸 https://t.co/3QsBsib6kt",http://twitter.com/realDonaldTrump/status/843961248811225089,"March 20, 2017 at 07:03PM"
@realDonaldTrump,"Thank you Louisville, Kentucky. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! https://t.co/qGgWEWUvek",http://twitter.com/realDonaldTrump/status/844010257454153729,"March 20, 2017 at 10:18PM"
@realDonaldTrump,Joined the @HouseGOP Conference this morning at the U.S. Capitol. https://t.co/03e4YBIWr0 #PassTheBill #MAGA🇺🇸… https://t.co/3swdFWGQtP,http://twitter.com/realDonaldTrump/status/844232766711648256,"March 21, 2017 at 01:02PM"
@realDonaldTrump,"Honored to sign S.442 today. With this legislation, we support @NASA's scientists, engineers, and astronauts in the… https://t.co/Z5VwluvJQx",http://twitter.com/realDonaldTrump/status/844240534562594817,"March 21, 2017 at 01:33PM"
@realDonaldTrump,"Today on #NationalAgDay, we honor our great American farmers &amp; ranchers. Their hard work &amp; dedication are ingrained… https://t.co/IpGRhly2zj",http://twitter.com/realDonaldTrump/status/844250273740738562,"March 21, 2017 at 02:12PM"
@realDonaldTrump,Big day for healthcare. Working hard!,http://twitter.com/realDonaldTrump/status/844536536930619393,"March 22, 2017 at 09:09AM"
@realDonaldTrump,RT @mitchellvii: EXACTLY AS I SAID - House Intel Chair: We Cannot Rule Out Sr. Obama Officials Were Involved in Trump Surveillance https://t.co/ernZeDQIfy,http://twitter.com/realDonaldTrump/status/844716149828993025,"March 22, 2017 at 09:03PM"
@realDonaldTrump,RT @mitchellvii: Trump always ends up being right.  It's almost a little freaky.,http://twitter.com/realDonaldTrump/status/844716458844311553,"March 22, 2017 at 09:04PM"
@realDonaldTrump,Spoke to U.K. Prime Minister Theresa May today to offer condolences on the terrorist attack in London. She is strong and doing very well.,http://twitter.com/realDonaldTrump/status/844723847094026242,"March 22, 2017 at 09:33PM"
@realDonaldTrump,Just watched the totally biased and fake news reports of the so-called Russia story on NBC and ABC. Such dishonesty!,http://twitter.com/realDonaldTrump/status/844886082663698436,"March 23, 2017 at 08:18AM"
@realDonaldTrump,"A great American, Kurt Cochran, was killed in the London terror attack. My prayers and condolences are with his family and friends.",http://twitter.com/realDonaldTrump/status/844930836663357440,"March 23, 2017 at 11:16AM"
@realDonaldTrump,We are taking action to #RepealANDReplace #Obamacare! Contact your Rep &amp; tell them you support #AHCA. #PassTheBill… https://t.co/5lsrDJXfzb,http://twitter.com/realDonaldTrump/status/844943801848414209,"March 23, 2017 at 12:07PM"
@realDonaldTrump,It was an honor to welcome so many truckers and trucking industry leaders to the @WhiteHouse today! https://t.co/M1veooVBNE,http://twitter.com/realDonaldTrump/status/845037368386207746,"March 23, 2017 at 06:19PM"
@realDonaldTrump,"After seven horrible years of ObamaCare (skyrocketing premiums &amp; deductibles, bad healthcare), this is finally your chance for a great plan!",http://twitter.com/realDonaldTrump/status/845247455868391425,"March 24, 2017 at 08:14AM"
@realDonaldTrump,"The irony is that the Freedom Caucus, which is very pro-life and against Planned Parenthood, allows P.P. to continue if they stop this plan!",http://twitter.com/realDonaldTrump/status/845249587178819584,"March 24, 2017 at 08:23AM"
@realDonaldTrump,"Today, I was pleased to announce the official approval of the presidential permit for the #KeystonePipeline. A grea… https://t.co/GWNo2XAueg",http://twitter.com/realDonaldTrump/status/845320243614547968,"March 24, 2017 at 01:03PM"
@realDonaldTrump,"Today, I was thrilled to announce a commitment of $25 BILLION &amp; 20K AMERICAN JOBS over the next 4 years. THANK YOU… https://t.co/nWJ1hNmzoR",http://twitter.com/realDonaldTrump/status/845334323045765121,"March 24, 2017 at 01:59PM"
@realDonaldTrump,Happy #MedalOfHonorDay to our heroes! ➡️https://t.co/juAB1RmMh0 https://t.co/Sw5ea1OwUf,http://twitter.com/realDonaldTrump/status/845628655493677056,"March 25, 2017 at 09:29AM"
@realDonaldTrump,ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!,http://twitter.com/realDonaldTrump/status/845645916732358656,"March 25, 2017 at 10:37AM"
@realDonaldTrump,Watch @JudgeJeanine on @FoxNews tonight at 9:00 P.M.,http://twitter.com/realDonaldTrump/status/845646761704243200,"March 25, 2017 at 10:41AM"
@realDonaldTrump,Thanks you for all of the Trump Rallies today. Amazing support. We will all MAKE AMERICA GREAT AGAIN!,http://twitter.com/realDonaldTrump/status/845766504608120833,"March 25, 2017 at 06:37PM"
@realDonaldTrump,"Democrats are smiling in D.C. that the Freedom Caucus, with the help of Club For Growth and Heritage, have saved Planned Parenthood &amp; Ocare!",http://twitter.com/realDonaldTrump/status/845974102619906048,"March 26, 2017 at 08:21AM"
@realDonaldTrump,General Kelly is doing a great job at the border. Numbers are way down. Many are not even trying to come in anymore.,http://twitter.com/realDonaldTrump/status/846166053663191040,"March 26, 2017 at 09:04PM"
@realDonaldTrump,"Why isn't the House Intelligence Committee looking into the Bill &amp; Hillary deal that allowed big Uranium to go to Russia, Russian speech....",http://twitter.com/realDonaldTrump/status/846533818811080704,"March 27, 2017 at 09:26PM"
@realDonaldTrump,"...money to Bill, the Hillary Russian ""reset,"" praise of Russia by Hillary, or Podesta Russian Company. Trump Russia story is a hoax. #MAGA!",http://twitter.com/realDonaldTrump/status/846536212362018816,"March 27, 2017 at 09:35PM"
@realDonaldTrump,The Republican House Freedom Caucus was able to snatch defeat from the jaws of victory. After so many bad years they were ready for a win!,http://twitter.com/realDonaldTrump/status/846537639167713281,"March 27, 2017 at 09:41PM"
@realDonaldTrump,"The Democrats will make a deal with me on healthcare as soon as ObamaCare folds - not long. Do not worry, we are in very  good shape!",http://twitter.com/realDonaldTrump/status/846543183223963649,"March 27, 2017 at 10:03PM"
@realDonaldTrump,Big announcement by Ford today. Major investment to be made in three Michigan plants. Car companies coming back to U.S.  JOBS! JOBS! JOBS!,http://twitter.com/realDonaldTrump/status/846672219073863681,"March 28, 2017 at 06:36AM"
@realDonaldTrump,Watch @foxandfriends now on Podesta and Russia!,http://twitter.com/realDonaldTrump/status/846682464215076866,"March 28, 2017 at 07:16AM"
@realDonaldTrump,"The failing @NYTimes would do much better if they were honest! 
https://t.co/ATy8R3knS2",http://twitter.com/realDonaldTrump/status/846745288735887360,"March 28, 2017 at 11:26AM"
@realDonaldTrump,It was an honor to welcome @GLFOP to the @WhiteHouse today with @VP Pence &amp; Attorney General Sessions. THANK YOU fo… https://t.co/VHzTB4c69h,http://twitter.com/realDonaldTrump/status/846828561491202048,"March 28, 2017 at 04:57PM"
@realDonaldTrump,"A NEW ERA IN AMERICAN ENERGY! 
#MadeInTheUSA🇺🇸
Watch here: https://t.co/EG02Fdlkba https://t.co/XT12jqoIqj",http://twitter.com/realDonaldTrump/status/846841493952319489,"March 28, 2017 at 05:48PM"
